"GEO","TIME_PERIOD","MODE","FUEL_TYPE","OBS_VALUE","UNIT_MEASURE"
"IND","FY2020","Cars","EV",3215,"Registrations"
"IND","FY2020","Cars","Diesel",943765,"Registrations"
"IND","FY2020","Cars","Petrol",1662092,"Registrations"
"IND","FY2020","Bus","EV",492,"Registrations"
"IND","FY2020","Bus","Diesel",100426,"Registrations"
"IND","FY2020","LGV (up to 7/5 tonnes)","EV",43,"Registrations"
"IND","FY2020","LGV (up to 7/5 tonnes)","Diesel",509290,"Registrations"
"IND","FY2020","MGV (7.5-12 tonnes)","EV",0,"Registrations"
"IND","FY2020","MGV (7.5-12 tonnes)","Diesel",31885,"Registrations"
"IND","FY2020","HGV (>12 tonnes)","EV",0,"Registrations"
"IND","FY2020","HGV (>12 tonnes)","Diesel",210498,"Registrations"
"IND","FY2020","Others","EV",29,"Registrations"
"IND","FY2020","2W","Other",1539633,"Registrations"
"IND","FY2020","3W Passenger","Other",193890,"Registrations"
"IND","FY2020","3W Goods","Other",8211,"Registrations"
"IND","FY2020","Cars","Other",346761,"Registrations"
"IND","FY2020","Bus","Other",9089,"Registrations"
"IND","FY2020","LGV (up to 7/5 tonnes)","Other",65464,"Registrations"
"IND","FY2020","MGV (7.5-12 tonnes)","Other",7784,"Registrations"
"IND","FY2020","HGV (>12 tonnes)","Other",5332,"Registrations"
"IND","FY2020","Others","Other",874216,"Registrations"
"IND","FY2021","2W","EV",49486,"Registrations"
"IND","FY2021","2W","Petrol",13220064,"Registrations"
"IND","FY2021","3W Passenger","EV",1667,"Registrations"
"IND","FY2021","3W Passenger","Diesel",58844,"Registrations"
"IND","FY2021","3W Passenger","Petrol/CNG",13496,"Registrations"
"IND","FY2021","3W Goods","EV",843,"Registrations"
"IND","FY2021","3W Goods","Diesel",59951,"Registrations"
"IND","FY2021","3W Goods","CNG",5097,"Registrations"
"IND","FY2021","Cars","EV",5901,"Registrations"
"IND","FY2021","Cars","Diesel",430733,"Registrations"
"IND","FY2021","Cars","Petrol",1809794,"Registrations"
"IND","FY2021","Bus","EV",380,"Registrations"
"IND","FY2021","Bus","Diesel",14353,"Registrations"
"IND","FY2021","LGV (up to 7/5 tonnes)","EV",31,"Registrations"
"IND","FY2021","LGV (up to 7/5 tonnes)","Diesel",265485,"Registrations"
"IND","FY2021","MGV (7.5-12 tonnes)","EV",0,"Registrations"
"IND","FY2021","MGV (7.5-12 tonnes)","Diesel",20357,"Registrations"
"IND","FY2021","HGV (>12 tonnes)","EV",0,"Registrations"
"IND","FY2021","HGV (>12 tonnes)","Diesel",82316,"Registrations"
"IND","FY2021","Others","EV",35,"Registrations"
"IND","FY2021","2W","Other",1009878,"Registrations"
"IND","FY2021","3W Passenger","Other",69044,"Registrations"
"IND","FY2021","3W Goods","Other",1034,"Registrations"
"IND","FY2021","Cars","Other",323589,"Registrations"
"IND","FY2021","Bus","Other",1295,"Registrations"
"IND","FY2021","LGV (up to 7/5 tonnes)","Other",80859,"Registrations"
"IND","FY2021","MGV (7.5-12 tonnes)","Other",1567,"Registrations"
"IND","FY2021","HGV (>12 tonnes)","Other",4891,"Registrations"
"IND","FY2021","Others","Other",963005,"Registrations"
"IND","FY2022","2W","EV",279893,"Registrations"
"IND","FY2022","2W","Petrol",13272505,"Registrations"
"IND","FY2022","3W Passenger","EV",5207,"Registrations"
"IND","FY2022","3W Passenger","Diesel",34482,"Registrations"
"IND","FY2022","3W Passenger","Petrol/CNG",15706,"Registrations"
"IND","FY2022","3W Goods","EV",6603,"Registrations"
"IND","FY2022","3W Goods","Diesel",52226,"Registrations"
"IND","FY2022","3W Goods","CNG",18416,"Registrations"
"IND","FY2022","Cars","EV",21194,"Registrations"
"IND","FY2022","Cars","Diesel",546141,"Registrations"
"IND","FY2022","Cars","Petrol",1956719,"Registrations"
"IND","FY2022","Bus","EV",1194,"Registrations"
"IND","FY2022","Bus","Diesel",17808,"Registrations"
"IND","FY2022","LGV (up to 7/5 tonnes)","EV",1021,"Registrations"
"IND","FY2022","LGV (up to 7/5 tonnes)","Diesel",287321,"Registrations"
"IND","FY2022","MGV (7.5-12 tonnes)","EV",0,"Registrations"
"IND","FY2022","MGV (7.5-12 tonnes)","Diesel",21324,"Registrations"
"IND","FY2022","HGV (>12 tonnes)","EV",0,"Registrations"
"IND","FY2022","HGV (>12 tonnes)","Diesel",155788,"Registrations"
"IND","FY2022","Others","EV",99,"Registrations"
"IND","FY2022","2W","Other",1092895,"Registrations"
"IND","FY2022","3W Passenger","Other",133367,"Registrations"
"IND","FY2022","3W Goods","Other",2705,"Registrations"
"IND","FY2022","Cars","Other",403088,"Registrations"
"IND","FY2022","Bus","Other",1891,"Registrations"
"IND","FY2022","LGV (up to 7/5 tonnes)","Other",152174,"Registrations"
"IND","FY2022","MGV (7.5-12 tonnes)","Other",15875,"Registrations"
"IND","FY2022","HGV (>12 tonnes)","Other",15670,"Registrations"
"IND","FY2022","Others","Other",947567,"Registrations"
"IND","FY2023","2W","EV",783373,"Registrations"
"IND","FY2023","2W","Petrol",15301431,"Registrations"
"IND","FY2023","3W Passenger","EV",15374,"Registrations"
"IND","FY2023","3W Passenger","Diesel",51450,"Registrations"
"IND","FY2023","3W Passenger","Petrol/CNG",17298,"Registrations"
"IND","FY2023","3W Goods","EV",16067,"Registrations"
"IND","FY2023","3W Goods","Diesel",55472,"Registrations"
"IND","FY2023","3W Goods","CNG",22748,"Registrations"
"IND","FY2023","Cars","EV",54471,"Registrations"
"IND","FY2023","Cars","Diesel",686796,"Registrations"
"IND","FY2023","Cars","Petrol",2192892,"Registrations"
"IND","FY2023","Bus","EV",2008,"Registrations"
"IND","FY2023","Bus","Diesel",48010,"Registrations"
"IND","FY2023","LGV (up to 7/5 tonnes)","EV",453,"Registrations"
"IND","FY2023","LGV (up to 7/5 tonnes)","Diesel",395725,"Registrations"
"IND","FY2023","MGV (7.5-12 tonnes)","EV",0,"Registrations"
"IND","FY2023","MGV (7.5-12 tonnes)","Diesel",27980,"Registrations"
"IND","FY2023","HGV (>12 tonnes)","EV",183,"Registrations"
"IND","FY2023","HGV (>12 tonnes)","Diesel",236679,"Registrations"
"IND","FY2023","Others","EV",100,"Registrations"
"IND","FY2023","2W","Other",5679162,"Registrations"
"IND","FY2023","3W Passenger","Other",234190,"Registrations"
"IND","FY2023","3W Goods","Other",2856,"Registrations"
"IND","FY2023","Cars","Other",681342,"Registrations"
"IND","FY2023","Bus","Other",6153,"Registrations"
"IND","FY2023","LGV (up to 7/5 tonnes)","Other",163620,"Registrations"
"IND","FY2023","MGV (7.5-12 tonnes)","Other",9557,"Registrations"
"IND","FY2023","HGV (>12 tonnes)","Other",13697,"Registrations"
"IND","FY2023","Others","Other",1039172,"Registrations"
"IND","FY2024","2W","EV",1012841,"Registrations"
"IND","FY2024","2W","Petrol",16578332,"Registrations"
"IND","FY2024","3W Passenger","EV",69923,"Registrations"
"IND","FY2024","3W Passenger","Diesel",72759,"Registrations"
"IND","FY2024","3W Passenger","Petrol/CNG",2047,"Registrations"
"IND","FY2024","3W Goods","EV",31758,"Registrations"
"IND","FY2024","3W Goods","Diesel",60776,"Registrations"
"IND","FY2024","3W Goods","CNG",28881,"Registrations"
"IND","FY2024","Cars","EV",99719,"Registrations"
"IND","FY2024","Cars","Diesel",700828,"Registrations"
"IND","FY2024","Cars","Petrol",2204186,"Registrations"
"IND","FY2024","Bus","EV",3733,"Registrations"
"IND","FY2024","Bus","Diesel",78361,"Registrations"
"IND","FY2024","LGV (up to 7/5 tonnes)","EV",4626,"Registrations"
"IND","FY2024","LGV (up to 7/5 tonnes)","Diesel",383532,"Registrations"
"IND","FY2024","MGV (7.5-12 tonnes)","EV",0,"Registrations"
"IND","FY2024","MGV (7.5-12 tonnes)","Diesel",32566,"Registrations"
